forecast_date,target,target_end_date,location,type,quantile,value
5/29/2022,1 wk ahead inc case,6/4/2022,US,quantile,0.025,321202
5/29/2022,2 wk ahead inc case,6/11/2022,US,quantile,0.025,213463
5/29/2022,3 wk ahead inc case,6/18/2022,US,quantile,0.025,170253
5/29/2022,4 wk ahead inc case,6/25/2022,US,quantile,0.025,145649
5/29/2022,5 wk ahead inc case,7/2/2022,US,quantile,0.025,128322
5/29/2022,6 wk ahead inc case,7/9/2022,US,quantile,0.025,117650
5/29/2022,7 wk ahead inc case,7/16/2022,US,quantile,0.025,109130
5/29/2022,8 wk ahead inc case,7/23/2022,US,quantile,0.025,111336
5/29/2022,1 wk ahead inc case,6/4/2022,US,quantile,0.1,356460
5/29/2022,2 wk ahead inc case,6/11/2022,US,quantile,0.1,254055
5/29/2022,3 wk ahead inc case,6/18/2022,US,quantile,0.1,208039
5/29/2022,4 wk ahead inc case,6/25/2022,US,quantile,0.1,181849
5/29/2022,5 wk ahead inc case,7/2/2022,US,quantile,0.1,163889
5/29/2022,6 wk ahead inc case,7/9/2022,US,quantile,0.1,151917
5/29/2022,7 wk ahead inc case,7/16/2022,US,quantile,0.1,142276
5/29/2022,8 wk ahead inc case,7/23/2022,US,quantile,0.1,141160
5/29/2022,1 wk ahead inc case,6/4/2022,US,quantile,0.25,403461
5/29/2022,2 wk ahead inc case,6/11/2022,US,quantile,0.25,327564
5/29/2022,3 wk ahead inc case,6/18/2022,US,quantile,0.25,285504
5/29/2022,4 wk ahead inc case,6/25/2022,US,quantile,0.25,256240
5/29/2022,5 wk ahead inc case,7/2/2022,US,quantile,0.25,234543
5/29/2022,6 wk ahead inc case,7/9/2022,US,quantile,0.25,219035
5/29/2022,7 wk ahead inc case,7/16/2022,US,quantile,0.25,207086
5/29/2022,8 wk ahead inc case,7/23/2022,US,quantile,0.25,206862
5/29/2022,1 wk ahead inc case,6/4/2022,US,quantile,0.5,440902
5/29/2022,2 wk ahead inc case,6/11/2022,US,quantile,0.5,378441
5/29/2022,3 wk ahead inc case,6/18/2022,US,quantile,0.5,348732
5/29/2022,4 wk ahead inc case,6/25/2022,US,quantile,0.5,332734
5/29/2022,5 wk ahead inc case,7/2/2022,US,quantile,0.5,322104
5/29/2022,6 wk ahead inc case,7/9/2022,US,quantile,0.5,314480
5/29/2022,7 wk ahead inc case,7/16/2022,US,quantile,0.5,307918
5/29/2022,8 wk ahead inc case,7/23/2022,US,quantile,0.5,298800
5/29/2022,1 wk ahead inc case,6/4/2022,US,quantile,0.75,477253
5/29/2022,2 wk ahead inc case,6/11/2022,US,quantile,0.75,428073
5/29/2022,3 wk ahead inc case,6/18/2022,US,quantile,0.75,406041
5/29/2022,4 wk ahead inc case,6/25/2022,US,quantile,0.75,389346
5/29/2022,5 wk ahead inc case,7/2/2022,US,quantile,0.75,371197
5/29/2022,6 wk ahead inc case,7/9/2022,US,quantile,0.75,357741
5/29/2022,7 wk ahead inc case,7/16/2022,US,quantile,0.75,346210
5/29/2022,8 wk ahead inc case,7/23/2022,US,quantile,0.75,333735
5/29/2022,1 wk ahead inc case,6/4/2022,US,quantile,0.9,497615
5/29/2022,2 wk ahead inc case,6/11/2022,US,quantile,0.9,453029
5/29/2022,3 wk ahead inc case,6/18/2022,US,quantile,0.9,426694
5/29/2022,4 wk ahead inc case,6/25/2022,US,quantile,0.9,409850
5/29/2022,5 wk ahead inc case,7/2/2022,US,quantile,0.9,400020
5/29/2022,6 wk ahead inc case,7/9/2022,US,quantile,0.9,393379
5/29/2022,7 wk ahead inc case,7/16/2022,US,quantile,0.9,387978
5/29/2022,8 wk ahead inc case,7/23/2022,US,quantile,0.9,374134
5/29/2022,1 wk ahead inc case,6/4/2022,US,quantile,0.975,505086
5/29/2022,2 wk ahead inc case,6/11/2022,US,quantile,0.975,463184
5/29/2022,3 wk ahead inc case,6/18/2022,US,quantile,0.975,440978
5/29/2022,4 wk ahead inc case,6/25/2022,US,quantile,0.975,426976
5/29/2022,5 wk ahead inc case,7/2/2022,US,quantile,0.975,416506
5/29/2022,6 wk ahead inc case,7/9/2022,US,quantile,0.975,408569
5/29/2022,7 wk ahead inc case,7/16/2022,US,quantile,0.975,401800
5/29/2022,8 wk ahead inc case,7/23/2022,US,quantile,0.975,384567
5/29/2022,1 wk ahead inc case,6/4/2022,US,point,NA,428854
5/29/2022,2 wk ahead inc case,6/11/2022,US,point,NA,359687
5/29/2022,3 wk ahead inc case,6/18/2022,US,point,NA,326606
5/29/2022,4 wk ahead inc case,6/25/2022,US,point,NA,306092
5/29/2022,5 wk ahead inc case,7/2/2022,US,point,NA,290940
5/29/2022,6 wk ahead inc case,7/9/2022,US,point,NA,280396
5/29/2022,7 wk ahead inc case,7/16/2022,US,point,NA,271771
5/29/2022,8 wk ahead inc case,7/23/2022,US,point,NA,264371
